,Postcode,State,Fuel Type,Year,LVs,VWs,RYIs
0,800,NT,ICE,2021,6780,0.0,0.0
1,800,NT,BEV,2021,3,0.0,0.0
2,800,NT,HFCEV,2021,0,0.0,0.0
3,800,NT,Hybrid/PHEV,2021,131,0.0,0.0
4,810,NT,ICE,2021,21870,0.0,0.0
5,810,NT,BEV,2021,6,0.0,0.0
6,810,NT,HFCEV,2021,0,0.0,0.0
7,810,NT,Hybrid/PHEV,2021,288,0.0,0.0
8,812,NT,ICE,2021,11925,0.0,0.0
9,812,NT,BEV,2021,3,0.0,0.0
10,812,NT,HFCEV,2021,0,0.0,0.0
11,812,NT,Hybrid/PHEV,2021,125,0.0,0.0
12,820,NT,ICE,2021,19921,0.0,0.0
13,820,NT,BEV,2021,11,0.0,0.0
14,820,NT,HFCEV,2021,0,0.0,0.0
15,820,NT,Hybrid/PHEV,2021,267,0.0,0.0
16,822,NT,ICE,2021,6408,0.0,0.0
17,822,NT,BEV,2021,0,0.0,0.0
18,822,NT,HFCEV,2021,0,0.0,0.0
19,822,NT,Hybrid/PHEV,2021,24,0.0,0.0
20,828,NT,ICE,2021,3738,0.0,0.0
21,828,NT,BEV,2021,0,0.0,0.0
22,828,NT,HFCEV,2021,0,0.0,0.0
23,828,NT,Hybrid/PHEV,2021,29,0.0,0.0
24,829,NT,ICE,2021,1499,0.0,0.0
25,829,NT,BEV,2021,0,0.0,0.0
26,829,NT,HFCEV,2021,0,0.0,0.0
27,829,NT,Hybrid/PHEV,2021,15,0.0,0.0
28,830,NT,ICE,2021,12056,0.0,0.0
29,830,NT,BEV,2021,0,0.0,0.0
30,830,NT,HFCEV,2021,0,0.0,0.0
31,830,NT,Hybrid/PHEV,2021,84,0.0,0.0
32,832,NT,ICE,2021,11442,0.0,0.0
33,832,NT,BEV,2021,0,0.0,0.0
34,832,NT,HFCEV,2021,0,0.0,0.0
35,832,NT,Hybrid/PHEV,2021,102,0.0,0.0
36,834,NT,ICE,2021,1490,0.0,0.0
37,834,NT,BEV,2021,0,0.0,0.0
38,834,NT,HFCEV,2021,0,0.0,0.0
39,834,NT,Hybrid/PHEV,2021,8,0.0,0.0
40,835,NT,ICE,2021,2900,0.0,0.0
41,835,NT,BEV,2021,0,0.0,0.0
42,835,NT,HFCEV,2021,0,0.0,0.0
43,835,NT,Hybrid/PHEV,2021,21,0.0,0.0
44,836,NT,ICE,2021,6656,0.0,0.0
45,836,NT,BEV,2021,3,0.0,0.0
46,836,NT,HFCEV,2021,0,0.0,0.0
47,836,NT,Hybrid/PHEV,2021,30,0.0,0.0
48,837,NT,ICE,2021,475,0.0,0.0
49,837,NT,BEV,2021,0,0.0,0.0
50,837,NT,HFCEV,2021,0,0.0,0.0
51,837,NT,Hybrid/PHEV,2021,3,0.0,0.0
52,838,NT,ICE,2021,808,0.0,0.0
53,838,NT,BEV,2021,0,0.0,0.0
54,838,NT,HFCEV,2021,0,0.0,0.0
55,838,NT,Hybrid/PHEV,2021,6,0.0,0.0
56,839,NT,ICE,2021,345,0.0,0.0
57,839,NT,BEV,2021,0,0.0,0.0
58,839,NT,HFCEV,2021,0,0.0,0.0
59,839,NT,Hybrid/PHEV,2021,5,0.0,0.0
60,840,NT,ICE,2021,419,0.0,0.0
61,840,NT,BEV,2021,0,0.0,0.0
62,840,NT,HFCEV,2021,0,0.0,0.0
63,840,NT,Hybrid/PHEV,2021,0,0.0,0.0
64,841,NT,ICE,2021,595,0.0,0.0
65,841,NT,BEV,2021,0,0.0,0.0
66,841,NT,HFCEV,2021,0,0.0,0.0
67,841,NT,Hybrid/PHEV,2021,3,0.0,0.0
68,845,NT,ICE,2021,429,0.0,0.0
69,845,NT,BEV,2021,0,0.0,0.0
70,845,NT,HFCEV,2021,0,0.0,0.0
71,845,NT,Hybrid/PHEV,2021,3,0.0,0.0
72,846,NT,ICE,2021,302,0.0,0.0
73,846,NT,BEV,2021,0,0.0,0.0
74,846,NT,HFCEV,2021,0,0.0,0.0
75,846,NT,Hybrid/PHEV,2021,0,0.0,0.0
76,847,NT,ICE,2021,212,0.0,0.0
77,847,NT,BEV,2021,0,0.0,0.0
78,847,NT,HFCEV,2021,0,0.0,0.0
79,847,NT,Hybrid/PHEV,2021,0,0.0,0.0
80,850,NT,ICE,2021,6258,0.0,0.0
81,850,NT,BEV,2021,0,0.0,0.0
82,850,NT,HFCEV,2021,0,0.0,0.0
83,850,NT,Hybrid/PHEV,2021,28,0.0,0.0
84,852,NT,ICE,2021,1450,0.0,0.0
85,852,NT,BEV,2021,0,0.0,0.0
86,852,NT,HFCEV,2021,0,0.0,0.0
87,852,NT,Hybrid/PHEV,2021,0,0.0,0.0
88,853,NT,ICE,2021,542,0.0,0.0
89,853,NT,BEV,2021,0,0.0,0.0
90,853,NT,HFCEV,2021,0,0.0,0.0
91,853,NT,Hybrid/PHEV,2021,4,0.0,0.0
92,854,NT,ICE,2021,377,0.0,0.0
93,854,NT,BEV,2021,0,0.0,0.0
94,854,NT,HFCEV,2021,0,0.0,0.0
95,854,NT,Hybrid/PHEV,2021,0,0.0,0.0
96,860,NT,ICE,2021,1650,0.0,0.0
97,860,NT,BEV,2021,0,0.0,0.0
98,860,NT,HFCEV,2021,0,0.0,0.0
99,860,NT,Hybrid/PHEV,2021,7,0.0,0.0
100,862,NT,ICE,2021,375,0.0,0.0
101,862,NT,BEV,2021,0,0.0,0.0
102,862,NT,HFCEV,2021,0,0.0,0.0
103,862,NT,Hybrid/PHEV,2021,0,0.0,0.0
104,870,NT,ICE,2021,15786,0.0,0.0
105,870,NT,BEV,2021,12,0.0,0.0
106,870,NT,HFCEV,2021,0,0.0,0.0
107,870,NT,Hybrid/PHEV,2021,99,0.0,0.0
108,872,NT,ICE,2021,2167,0.0,0.0
109,872,NT,BEV,2021,0,0.0,0.0
110,872,NT,HFCEV,2021,0,0.0,0.0
111,872,NT,Hybrid/PHEV,2021,4,0.0,0.0
112,873,NT,ICE,2021,1361,0.0,0.0
113,873,NT,BEV,2021,3,0.0,0.0
114,873,NT,HFCEV,2021,0,0.0,0.0
115,873,NT,Hybrid/PHEV,2021,10,0.0,0.0
116,874,NT,ICE,2021,308,0.0,0.0
117,874,NT,BEV,2021,0,0.0,0.0
118,874,NT,HFCEV,2021,0,0.0,0.0
119,874,NT,Hybrid/PHEV,2021,3,0.0,0.0
120,875,NT,ICE,2021,1295,0.0,0.0
121,875,NT,BEV,2021,0,0.0,0.0
122,875,NT,HFCEV,2021,0,0.0,0.0
123,875,NT,Hybrid/PHEV,2021,16,0.0,0.0
124,880,NT,ICE,2021,2469,0.0,0.0
125,880,NT,BEV,2021,0,0.0,0.0
126,880,NT,HFCEV,2021,0,0.0,0.0
127,880,NT,Hybrid/PHEV,2021,7,0.0,0.0
128,885,NT,ICE,2021,622,0.0,0.0
129,885,NT,BEV,2021,0,0.0,0.0
130,885,NT,HFCEV,2021,0,0.0,0.0
131,885,NT,Hybrid/PHEV,2021,0,0.0,0.0
132,886,NT,ICE,2021,719,0.0,0.0
133,886,NT,BEV,2021,0,0.0,0.0
134,886,NT,HFCEV,2021,0,0.0,0.0
135,886,NT,Hybrid/PHEV,2021,0,0.0,0.0
136,2000,NSW,ICE,2021,18213,0.0,0.0
137,2000,NSW,BEV,2021,76,0.0,0.0
138,2000,NSW,HFCEV,2021,0,0.0,0.0
139,2000,NSW,Hybrid/PHEV,2021,976,0.0,0.0
140,2007,NSW,ICE,2021,2294,0.0,0.0
141,2007,NSW,BEV,2021,5,0.0,0.0
142,2007,NSW,HFCEV,2021,0,0.0,0.0
143,2007,NSW,Hybrid/PHEV,2021,65,0.0,0.0
144,2008,NSW,ICE,2021,2794,0.0,0.0
145,2008,NSW,BEV,2021,9,0.0,0.0
146,2008,NSW,HFCEV,2021,0,0.0,0.0
147,2008,NSW,Hybrid/PHEV,2021,69,0.0,0.0
148,2009,NSW,ICE,2021,5746,0.0,0.0
149,2009,NSW,BEV,2021,22,0.0,0.0
150,2009,NSW,HFCEV,2021,0,0.0,0.0
151,2009,NSW,Hybrid/PHEV,2021,346,0.0,0.0
152,2010,NSW,ICE,2021,9940,0.0,0.0
153,2010,NSW,BEV,2021,37,0.0,0.0
154,2010,NSW,HFCEV,2021,0,0.0,0.0
155,2010,NSW,Hybrid/PHEV,2021,180,0.0,0.0
156,2011,NSW,ICE,2021,9160,0.0,0.0
157,2011,NSW,BEV,2021,49,0.0,0.0
158,2011,NSW,HFCEV,2021,0,0.0,0.0
159,2011,NSW,Hybrid/PHEV,2021,318,0.0,0.0
160,2015,NSW,ICE,2021,8953,0.0,0.0
161,2015,NSW,BEV,2021,84,0.0,0.0
162,2015,NSW,HFCEV,2021,0,0.0,0.0
163,2015,NSW,Hybrid/PHEV,2021,296,0.0,0.0
164,2016,NSW,ICE,2021,5175,0.0,0.0
165,2016,NSW,BEV,2021,10,0.0,0.0
166,2016,NSW,HFCEV,2021,0,0.0,0.0
167,2016,NSW,Hybrid/PHEV,2021,80,0.0,0.0
168,2017,NSW,ICE,2021,11965,0.0,0.0
169,2017,NSW,BEV,2021,68,0.0,0.0
170,2017,NSW,HFCEV,2021,0,0.0,0.0
171,2017,NSW,Hybrid/PHEV,2021,336,0.0,0.0
172,2018,NSW,ICE,2021,9321,0.0,0.0
173,2018,NSW,BEV,2021,13,0.0,0.0
174,2018,NSW,HFCEV,2021,0,0.0,0.0
175,2018,NSW,Hybrid/PHEV,2021,195,0.0,0.0
176,2019,NSW,ICE,2021,10435,0.0,0.0
177,2019,NSW,BEV,2021,15,0.0,0.0
178,2019,NSW,HFCEV,2021,0,0.0,0.0
179,2019,NSW,Hybrid/PHEV,2021,149,0.0,0.0
180,2020,NSW,ICE,2021,20529,0.0,0.0
181,2020,NSW,BEV,2021,13,0.0,0.0
182,2020,NSW,HFCEV,2021,0,0.0,0.0
183,2020,NSW,Hybrid/PHEV,2021,957,0.0,0.0
184,2021,NSW,ICE,2021,7680,0.0,0.0
185,2021,NSW,BEV,2021,39,0.0,0.0
186,2021,NSW,HFCEV,2021,0,0.0,0.0
187,2021,NSW,Hybrid/PHEV,2021,160,0.0,0.0
188,2022,NSW,ICE,2021,6443,0.0,0.0
189,2022,NSW,BEV,2021,33,0.0,0.0
190,2022,NSW,HFCEV,2021,0,0.0,0.0
191,2022,NSW,Hybrid/PHEV,2021,124,0.0,0.0
192,2023,NSW,ICE,2021,5983,0.0,0.0
193,2023,NSW,BEV,2021,57,0.0,0.0
194,2023,NSW,HFCEV,2021,0,0.0,0.0
195,2023,NSW,Hybrid/PHEV,2021,155,0.0,0.0
196,2024,NSW,ICE,2021,5855,0.0,0.0
197,2024,NSW,BEV,2021,39,0.0,0.0
198,2024,NSW,HFCEV,2021,0,0.0,0.0
199,2024,NSW,Hybrid/PHEV,2021,112,0.0,0.0
200,2025,NSW,ICE,2021,4012,0.0,0.0
201,2025,NSW,BEV,2021,38,0.0,0.0
202,2025,NSW,HFCEV,2021,0,0.0,0.0
203,2025,NSW,Hybrid/PHEV,2021,89,0.0,0.0
204,2026,NSW,ICE,2021,15952,0.0,0.0
205,2026,NSW,BEV,2021,57,0.0,0.0
206,2026,NSW,HFCEV,2021,0,0.0,0.0
207,2026,NSW,Hybrid/PHEV,2021,262,0.0,0.0
208,2027,NSW,ICE,2021,4786,0.0,0.0
209,2027,NSW,BEV,2021,33,0.0,0.0
210,2027,NSW,HFCEV,2021,0,0.0,0.0
211,2027,NSW,Hybrid/PHEV,2021,139,0.0,0.0
212,2028,NSW,ICE,2021,2961,0.0,0.0
213,2028,NSW,BEV,2021,17,0.0,0.0
