,Postcode,Population
0,2000,27936
1,2007,7410
2,2008,10400
3,2009,12658
4,2010,26443
5,2011,18187
6,2015,11422
7,2016,13072
8,2017,29003
9,2018,19878
10,2019,13467
11,2020,21591
12,2021,14946
13,2022,13509
14,2023,10590
15,2024,11380
16,2025,7189
17,2026,32693
18,2027,7810
19,2028,4709
20,2029,9911
21,2030,14434
22,2031,33830
23,2032,14643
24,2033,11927
25,2034,20249
26,2035,34602
27,2036,33767
28,2037,16641
29,2038,9487
30,2039,8553
31,2040,22803
32,2041,15584
33,2042,18673
34,2043,9657
35,2044,8278
36,2045,6480
37,2046,27288
38,2047,12011
39,2048,7619
40,2049,12258
41,2050,9381
42,2060,15135
43,2061,6158
44,2062,7088
45,2063,6493
46,2064,9417
47,2065,31698
48,2066,33844
49,2067,27078
50,2068,17450
51,2069,14604
52,2070,14648
53,2071,13510
54,2072,8795
55,2073,17221
56,2074,23423
57,2075,21665
58,2076,25340
59,2077,42819
60,2079,7816
61,2080,1766
62,2081,5394
63,2082,5458
64,2083,1665
65,2084,3759
66,2085,11452
67,2086,14214
68,2087,13161
69,2088,28329
70,2089,11491
71,2090,13533
72,2092,7384
73,2093,23555
74,2094,6141
75,2095,16296
76,2096,14955
77,2097,15991
78,2099,42917
79,2100,21973
80,2101,19885
81,2102,8379
82,2103,10877
83,2104,3807
84,2105,2008
85,2106,9659
86,2107,15422
87,2108,1740
88,2110,9846
89,2111,15456
90,2112,38026
91,2113,27637
92,2114,25267
93,2115,12686
94,2116,7274
95,2117,22185
96,2118,27888
97,2119,12458
98,2120,20988
99,2121,34209
100,2122,31187
101,2125,16620
102,2126,19082
103,2127,23198
104,2128,3600
105,2130,7288
106,2131,23012
107,2132,10755
108,2133,10929
109,2134,18224
110,2135,25915
111,2136,7763
112,2137,27726
113,2138,19686
114,2140,20766
115,2141,32425
116,2142,27993
117,2143,9774
118,2144,39333
119,2145,87531
120,2146,19456
121,2147,37285
122,2148,67483
123,2150,35254
124,2151,21204
