Postcode,Latitude,Longitude
7470,-41.8146,145.5092
7469,-41.9061,145.2716
7468,-42.6743,145.6488
7467,-42.0747,145.5452
7466,-42.0811,145.6153
7331,-40.7636,145.2881
7330,-41.1565,145.03
7325,-41.1057,145.6114
7322,-41.0586,145.7979
7321,-41.5764,145.4668
7320,-41.0759,145.8943
7316,-41.2194,145.9879
7315,-41.3093,146.0823
7310,-41.3256,146.2144
7307,-41.2322,146.4821
7306,-41.4673,146.2779
7305,-41.3405,146.4243
7304,-41.6552,146.3732
7303,-41.5108,146.7926
7302,-41.7735,147.0583
7301,-41.5956,147.0679
7300,-41.6257,147.2273
7292,-41.4769,146.9571
7291,-41.5417,147.0288
7290,-41.5104,147.0629
7277,-41.3731,147.0069
7276,-41.2829,146.9648
7275,-41.3076,146.8367
7270,-41.1752,146.7673
7268,-41.2978,147.2252
7267,-41.2656,147.132
7265,-41.0531,147.8078
7264,-40.9957,148.0851
7263,-41.2657,147.7151
7262,-40.9688,147.6332
7261,-41.1526,147.7268
7260,-41.159,147.5086
7259,-41.3755,147.4243
7258,-41.5023,147.1973
7257,-40.3919,148.2178
7256,-39.8692,143.9786
7255,-39.9973,148.0894
7254,-41.1154,147.229
7253,-41.1064,146.8922
7252,-41.1829,147.0693
7250,-41.4432,147.195
7249,-41.4698,147.1623
7248,-41.3936,147.1589
7216,-41.2599,148.1008
7215,-41.8294,148.2071
7214,-41.5567,147.9029
7213,-41.7729,147.9899
7212,-41.5719,147.4811
7211,-41.752,147.3486
7210,-41.9368,147.5189
7209,-42.1136,147.5753
7190,-42.2816,147.9116
7187,-43.0788,147.816
7186,-43.0048,147.6647
7185,-43.0535,147.7525
7184,-43.1424,147.722
7183,-43.1535,147.7793
7182,-43.132,147.9234
7180,-43.0633,147.8701
7179,-43.0107,147.8887
7178,-42.9159,147.9104
7177,-42.8568,147.8127
7176,-42.7592,147.791
7175,-42.7761,147.852
7174,-42.8289,147.7695
7173,-42.8414,147.6672
7172,-42.7355,147.6388
7171,-42.7689,147.5147
7170,-42.8428,147.4702
7163,-43.2099,147.2414
7162,-43.1604,147.215
7155,-43.126,147.2162
7150,-43.2903,147.2894
7140,-42.4225,146.6682
7139,-42.8465,146.2146
7120,-42.352,147.5893
7119,-42.4024,147.3865
7117,-43.2969,147.0203
7116,-43.1685,146.9199
7113,-43.0813,146.9787
7112,-43.1848,147.1527
7109,-43.2287,146.8842
7055,-43.0002,147.2948
7054,-42.9684,147.225
7053,-42.9536,147.3388
7052,-43.0074,147.3172
7050,-42.9645,147.2879
7030,-42.2374,147.0471
7027,-42.5106,147.3762
7026,-42.6081,147.4108
7025,-42.7377,147.4163
7024,-42.9526,147.5289
7023,-42.9853,147.4111
7022,-43.026,147.422
7021,-42.9096,147.4892
7020,-42.9768,147.4971
7019,-42.9045,147.4415
7018,-42.8885,147.4159
7017,-42.7464,147.3031
7016,-42.8111,147.3486
7015,-42.8387,147.3669
7012,-42.8335,147.1952
7011,-42.7887,147.2263
7010,-42.8418,147.2614
7009,-42.8428,147.2974
