,Postcode,RYIs
0,0800,2
1,0810,4
2,0812,1
3,0820,1
4,0830,2
5,0831,1
6,0835,1
7,0880,1
8,1123,1
9,1765,1
10,2000,22
11,2001,1
12,2007,2
13,2009,3
14,2010,12
15,2011,5
16,2015,13
17,2017,6
18,2018,5
19,2019,3
20,2020,1
21,2021,10
22,2022,5
23,2023,9
24,2024,11
25,2025,5
26,2026,17
27,2027,3
28,2028,2
29,2029,7
30,2030,8
31,2031,21
32,2032,5
33,2033,4
34,2034,8
35,2035,7
36,2036,8
37,2037,12
38,2038,4
39,2039,10
40,2040,17
41,2041,15
42,2042,16
43,2043,10
44,2044,2
45,2045,6
46,2046,16
47,2047,4
48,2048,5
49,2049,10
50,2050,9
51,2060,11
52,2061,1
53,2062,3
54,2063,2
55,2064,6
56,2065,26
57,2066,37
58,2067,7
59,2068,15
60,2069,8
61,2070,10
62,2071,14
63,2072,1
64,2073,14
65,2074,14
66,2075,11
67,2076,9
68,2077,7
69,2079,1
70,2080,1
71,2082,2
72,2084,4
73,2085,4
74,2086,7
75,2087,6
76,2088,21
77,2089,6
78,2090,7
79,2092,6
80,2093,18
81,2094,6
82,2095,11
83,2096,10
84,2097,6
85,2099,15
86,2100,8
87,2101,6
88,2102,6
89,2103,6
90,2104,3
91,2105,1
92,2106,6
93,2107,10
94,2108,3
95,2110,10
96,2111,8
97,2112,15
98,2113,8
99,2114,5
100,2115,1
101,2116,4
102,2117,8
103,2118,7
104,2119,5
105,2120,4
106,2121,5
107,2122,7
108,2124,2
109,2125,10
110,2126,10
111,2127,3
112,2128,3
113,2130,1
114,2131,4
115,2132,1
116,2133,3
117,2134,1
118,2135,5
119,2136,4
120,2137,12
121,2138,5
122,2140,4
123,2141,1
124,2142,1
125,2143,1
126,2144,2
127,2145,8
128,2146,1
129,2147,1
130,2148,6
131,2150,4
132,2151,4
133,2152,1
134,2153,20
135,2154,16
136,2155,27
137,2156,2
138,2159,1
139,2160,1
140,2161,3
141,2162,3
142,2164,3
143,2165,1
144,2166,1
145,2167,2
146,2168,2
147,2170,7
148,2171,5
149,2173,3
150,2174,3
151,2176,1
152,2179,2
153,2190,3
154,2191,1
155,2192,1
156,2193,5
157,2194,1
158,2196,3
159,2200,2
160,2203,6
161,2204,8
162,2205,2
163,2206,5
164,2207,3
165,2208,2
166,2209,4
167,2210,3
168,2212,2
169,2213,4
170,2216,1
171,2217,4
172,2218,2
173,2219,1
174,2220,5
175,2221,1
176,2222,2
177,2223,4
178,2224,2
179,2225,1
180,2226,9
181,2227,5
182,2228,6
183,2229,10
184,2230,9
185,2231,1
186,2232,5
187,2233,6
188,2234,6
189,2250,10
190,2251,12
191,2256,2
192,2257,9
193,2259,11
194,2260,8
195,2261,9
196,2262,1
197,2263,1
198,2264,2
199,2265,1
200,2280,13
201,2281,5
202,2282,4
203,2283,4
204,2284,1
205,2285,6
206,2287,3
207,2289,5
208,2290,6
209,2291,4
210,2292,1
211,2293,3
212,2294,3
213,2296,1
214,2298,1
215,2299,3
216,2300,16
217,2302,1
218,2303,4
219,2304,5
220,2305,7
221,2315,7
222,2316,2
223,2317,2
224,2318,2
225,2320,4
226,2322,2
227,2323,3
228,2324,2
229,2325,2
230,2328,2
231,2330,1
232,2335,2
233,2336,2
234,2337,2
235,2340,2
236,2350,2
237,2360,1
238,2400,1
239,2423,1
240,2428,4
241,2430,2
242,2431,2
243,2440,2
244,2443,1
245,2444,14
246,2445,1
247,2446,1
248,2447,2
249,2448,3
250,2450,9
251,2451,1
252,2452,1
253,2454,1
254,2456,4
255,2463,1
256,2470,1
257,2477,2
258,2478,7
259,2479,6
260,2480,8
261,2481,9
262,2482,5
263,2483,3
264,2484,1
265,2485,2
266,2487,4
267,2488,1
268,2489,2
269,2500,9
270,2505,1
271,2508,2
272,2515,6
273,2516,5
274,2517,1
275,2518,3
276,2519,2
277,2525,3
278,2526,5
279,2527,7
280,2529,7
281,2530,3
282,2533,14
283,2534,2
284,2535,7
285,2536,3
286,2537,3
287,2538,1
288,2539,4
289,2540,8
290,2541,2
291,2545,1
292,2546,1
293,2548,2
294,2550,2
295,2551,1
296,2557,7
297,2560,9
298,2563,1
299,2564,2
300,2565,4
301,2566,3
302,2567,6
303,2570,9
304,2571,3
305,2572,1
306,2574,1
307,2575,6
308,2576,6
309,2577,7
310,2579,1
311,2580,4
312,2582,1
313,2583,1
314,2594,1
315,2600,10
