,State,Postcode,Year,Fuel Type,LVs,VWs,RYIs,Latitude,Longitude
0,NT,0800,2020,ICE,6780,0.0,0.0,-12.4626,130.8428
1,NT,0800,2020,BEV,3,0.0,0.0,-12.4626,130.8428
2,NT,0800,2020,HFCEV,0,0.0,0.0,-12.4626,130.8428
3,NT,0800,2020,Hybrid/PHEV,131,0.0,0.0,-12.4626,130.8428
4,NT,0810,2020,ICE,21870,0.0,0.0,-12.3661,130.8784
5,NT,0810,2020,BEV,6,0.0,0.0,-12.3661,130.8784
6,NT,0810,2020,HFCEV,0,0.0,0.0,-12.3661,130.8784
7,NT,0810,2020,Hybrid/PHEV,288,0.0,0.0,-12.3661,130.8784
8,NT,0812,2020,ICE,11925,0.0,0.0,-12.3726,130.915
9,NT,0812,2020,BEV,3,0.0,0.0,-12.3726,130.915
10,NT,0812,2020,HFCEV,0,0.0,0.0,-12.3726,130.915
11,NT,0812,2020,Hybrid/PHEV,125,0.0,0.0,-12.3726,130.915
12,NT,0820,2020,ICE,19921,0.0,0.0,-12.4287,130.8485
13,NT,0820,2020,BEV,11,0.0,0.0,-12.4287,130.8485
14,NT,0820,2020,HFCEV,0,0.0,0.0,-12.4287,130.8485
15,NT,0820,2020,Hybrid/PHEV,267,0.0,0.0,-12.4287,130.8485
16,NT,0822,2020,ICE,6408,0.0,0.0,-13.011,132.5308
17,NT,0822,2020,BEV,0,0.0,0.0,-13.011,132.5308
18,NT,0822,2020,HFCEV,0,0.0,0.0,-13.011,132.5308
19,NT,0822,2020,Hybrid/PHEV,24,0.0,0.0,-13.011,132.5308
20,NT,0828,2020,ICE,3738,0.0,0.0,-12.4296,130.9405
21,NT,0828,2020,BEV,0,0.0,0.0,-12.4296,130.9405
22,NT,0828,2020,HFCEV,0,0.0,0.0,-12.4296,130.9405
23,NT,0828,2020,Hybrid/PHEV,29,0.0,0.0,-12.4296,130.9405
24,NT,0829,2020,ICE,1499,0.0,0.0,-12.4552,130.9986
25,NT,0829,2020,BEV,0,0.0,0.0,-12.4552,130.9986
26,NT,0829,2020,HFCEV,0,0.0,0.0,-12.4552,130.9986
27,NT,0829,2020,Hybrid/PHEV,15,0.0,0.0,-12.4552,130.9986
28,NT,0830,2020,ICE,12056,0.0,0.0,-12.3661,131.0796
