,POA_CODE_2021,SA3_CODE_2021,SA3_NAME_2021,GCCSA_NAME_2021,METRO_AREA
0,0800,70101,Darwin City,Greater Darwin,Greater Darwin
1,0810,70102,Darwin Suburbs,Greater Darwin,Greater Darwin
2,0812,70102,Darwin Suburbs,Greater Darwin,Greater Darwin
3,0820,70101,Darwin City,Greater Darwin,Greater Darwin
4,0822,70102,Darwin Suburbs,Greater Darwin,Greater Darwin
5,0828,70102,Darwin Suburbs,Greater Darwin,Greater Darwin
6,0829,70103,Litchfield,Greater Darwin,Greater Darwin
7,0830,70103,Litchfield,Greater Darwin,Greater Darwin
8,0832,70103,Litchfield,Greater Darwin,Greater Darwin
9,0834,70103,Litchfield,Greater Darwin,Greater Darwin
10,0835,70103,Litchfield,Greater Darwin,Greater Darwin
11,0836,70103,Litchfield,Greater Darwin,Greater Darwin
12,0837,70103,Litchfield,Greater Darwin,Greater Darwin
13,0838,70103,Litchfield,Greater Darwin,Greater Darwin
14,0839,70103,Litchfield,Greater Darwin,Greater Darwin
15,0841,70103,Litchfield,Greater Darwin,Greater Darwin
16,2000,11703,Sydney Inner City,Greater Sydney,Greater Sydney
17,2007,11703,Sydney Inner City,Greater Sydney,Greater Sydney
18,2008,11703,Sydney Inner City,Greater Sydney,Greater Sydney
19,2009,11703,Sydney Inner City,Greater Sydney,Greater Sydney
20,2010,11703,Sydney Inner City,Greater Sydney,Greater Sydney
21,2011,11703,Sydney Inner City,Greater Sydney,Greater Sydney
22,2015,11703,Sydney Inner City,Greater Sydney,Greater Sydney
23,2016,11703,Sydney Inner City,Greater Sydney,Greater Sydney
24,2017,11703,Sydney Inner City,Greater Sydney,Greater Sydney
25,2018,11701,Botany,Greater Sydney,Greater Sydney
26,2019,11701,Botany,Greater Sydney,Greater Sydney
27,2020,11701,Botany,Greater Sydney,Greater Sydney
28,2021,11801,Eastern Suburbs - North,Greater Sydney,Greater Sydney
29,2022,11801,Eastern Suburbs - North,Greater Sydney,Greater Sydney
30,2023,11801,Eastern Suburbs - North,Greater Sydney,Greater Sydney
31,2024,11801,Eastern Suburbs - North,Greater Sydney,Greater Sydney
32,2025,11801,Eastern Suburbs - North,Greater Sydney,Greater Sydney
33,2026,11801,Eastern Suburbs - North,Greater Sydney,Greater Sydney
34,2027,11801,Eastern Suburbs - North,Greater Sydney,Greater Sydney
35,2028,11801,Eastern Suburbs - North,Greater Sydney,Greater Sydney
36,2029,11801,Eastern Suburbs - North,Greater Sydney,Greater Sydney
37,2030,11801,Eastern Suburbs - North,Greater Sydney,Greater Sydney
38,2031,11802,Eastern Suburbs - South,Greater Sydney,Greater Sydney
39,2032,11701,Botany,Greater Sydney,Greater Sydney
40,2033,11802,Eastern Suburbs - South,Greater Sydney,Greater Sydney
41,2034,11802,Eastern Suburbs - South,Greater Sydney,Greater Sydney
42,2035,11701,Botany,Greater Sydney,Greater Sydney
43,2036,11701,Botany,Greater Sydney,Greater Sydney
44,2037,11703,Sydney Inner City,Greater Sydney,Greater Sydney
45,2038,11703,Sydney Inner City,Greater Sydney,Greater Sydney
46,2039,12002,Leichhardt,Greater Sydney,Greater Sydney
47,2040,12002,Leichhardt,Greater Sydney,Greater Sydney
48,2041,11703,Sydney Inner City,Greater Sydney,Greater Sydney
49,2042,11702,Marrickville - Sydenham - Petersham,Greater Sydney,Greater Sydney
50,2043,11703,Sydney Inner City,Greater Sydney,Greater Sydney
51,2044,11702,Marrickville - Sydenham - Petersham,Greater Sydney,Greater Sydney
52,2045,12003,Strathfield - Burwood - Ashfield,Greater Sydney,Greater Sydney
53,2046,12001,Canada Bay,Greater Sydney,Greater Sydney
54,2047,12001,Canada Bay,Greater Sydney,Greater Sydney
55,2048,11702,Marrickville - Sydenham - Petersham,Greater Sydney,Greater Sydney
56,2049,11702,Marrickville - Sydenham - Petersham,Greater Sydney,Greater Sydney
57,2050,11702,Marrickville - Sydenham - Petersham,Greater Sydney,Greater Sydney
58,2060,12104,North Sydney - Mosman,Greater Sydney,Greater Sydney
59,2061,12104,North Sydney - Mosman,Greater Sydney,Greater Sydney
60,2062,12101,Chatswood - Lane Cove,Greater Sydney,Greater Sydney
61,2063,12101,Chatswood - Lane Cove,Greater Sydney,Greater Sydney
62,2064,12101,Chatswood - Lane Cove,Greater Sydney,Greater Sydney
63,2065,12101,Chatswood - Lane Cove,Greater Sydney,Greater Sydney
64,2066,12101,Chatswood - Lane Cove,Greater Sydney,Greater Sydney
65,2067,12101,Chatswood - Lane Cove,Greater Sydney,Greater Sydney
66,2068,12101,Chatswood - Lane Cove,Greater Sydney,Greater Sydney
67,2069,12101,Chatswood - Lane Cove,Greater Sydney,Greater Sydney
68,2070,12103,Ku-ring-gai,Greater Sydney,Greater Sydney
69,2071,12103,Ku-ring-gai,Greater Sydney,Greater Sydney
70,2072,12103,Ku-ring-gai,Greater Sydney,Greater Sydney
71,2073,12103,Ku-ring-gai,Greater Sydney,Greater Sydney
72,2074,12103,Ku-ring-gai,Greater Sydney,Greater Sydney
73,2075,12103,Ku-ring-gai,Greater Sydney,Greater Sydney
74,2076,12102,Hornsby,Greater Sydney,Greater Sydney
75,2077,12102,Hornsby,Greater Sydney,Greater Sydney
76,2079,12102,Hornsby,Greater Sydney,Greater Sydney
77,2080,12102,Hornsby,Greater Sydney,Greater Sydney
78,2081,12102,Hornsby,Greater Sydney,Greater Sydney
79,2082,11502,Dural - Wisemans Ferry,Greater Sydney,Greater Sydney
80,2083,10201,Gosford,Greater Sydney,Greater Sydney
81,2084,12202,Pittwater,Greater Sydney,Greater Sydney
82,2085,12203,Warringah,Greater Sydney,Greater Sydney
83,2086,12203,Warringah,Greater Sydney,Greater Sydney
84,2087,12203,Warringah,Greater Sydney,Greater Sydney
85,2088,12104,North Sydney - Mosman,Greater Sydney,Greater Sydney
86,2089,12104,North Sydney - Mosman,Greater Sydney,Greater Sydney
87,2090,12104,North Sydney - Mosman,Greater Sydney,Greater Sydney
88,2092,12201,Manly,Greater Sydney,Greater Sydney
89,2093,12201,Manly,Greater Sydney,Greater Sydney
90,2094,12201,Manly,Greater Sydney,Greater Sydney
91,2095,12201,Manly,Greater Sydney,Greater Sydney
92,2096,12203,Warringah,Greater Sydney,Greater Sydney
93,2097,12203,Warringah,Greater Sydney,Greater Sydney
94,2099,12203,Warringah,Greater Sydney,Greater Sydney
95,2100,12203,Warringah,Greater Sydney,Greater Sydney
96,2101,12202,Pittwater,Greater Sydney,Greater Sydney
97,2102,12202,Pittwater,Greater Sydney,Greater Sydney
98,2103,12202,Pittwater,Greater Sydney,Greater Sydney
99,2104,12202,Pittwater,Greater Sydney,Greater Sydney
100,2105,12202,Pittwater,Greater Sydney,Greater Sydney
101,2106,12202,Pittwater,Greater Sydney,Greater Sydney
102,2107,12202,Pittwater,Greater Sydney,Greater Sydney
103,2108,12202,Pittwater,Greater Sydney,Greater Sydney
104,2110,12002,Leichhardt,Greater Sydney,Greater Sydney
105,2111,12602,Ryde - Hunters Hill,Greater Sydney,Greater Sydney
106,2112,12602,Ryde - Hunters Hill,Greater Sydney,Greater Sydney
107,2113,12602,Ryde - Hunters Hill,Greater Sydney,Greater Sydney
108,2114,12502,Carlingford,Greater Sydney,Greater Sydney
109,2115,12502,Carlingford,Greater Sydney,Greater Sydney
